baza_danych,RK,PC,RD,UDF,etykieta
cassandra,5,3,3.0,16_large_agg,0.7535496836149628
cassandra,5,3,3.0,17_left_join,0.5990674878721685
cassandra,5,3,3.0,20_nested_loops,0.5454333569348802
cassandra,5,3,3.0,10_intersect,0.5238827103074257
cassandra,5,3,4.5,18_merge_join,0.5364354093646022
cassandra,5,3,4.5,16_large_agg,0.7380602869259612
cassandra,5,3,4.5,17_left_join,0.5918117699820137
cassandra,5,3,4.5,20_nested_loops,0.5459686253443599
cassandra,5,3,4.5,10_intersect,0.518565839098534
cassandra,5,3,6.0,18_merge_join,0.5418078675735937
cassandra,5,3,6.0,16_large_agg,0.7345816406281703
cassandra,5,3,6.0,17_left_join,0.5925344206914664
cassandra,5,3,6.0,20_nested_loops,0.548091897924036
cassandra,5,3,6.0,10_intersect,0.5254655133153445
cassandra,5,6,3.0,18_merge_join,0.49099011129845327
cassandra,5,6,3.0,16_large_agg,0.7132549996222948
cassandra,5,6,3.0,17_left_join,0.6397750377468041
cassandra,5,6,3.0,20_nested_loops,0.5037922649134977
cassandra,5,6,3.0,10_intersect,0.6165404602285015
cassandra,5,6,4.5,18_merge_join,0.48641314930208945
cassandra,5,6,4.5,16_large_agg,0.6370035208268955
cassandra,5,6,4.5,17_left_join,0.6155221291281155
cassandra,5,6,4.5,20_nested_loops,0.4821482986909707
cassandra,5,6,4.5,10_intersect,0.6155386153229419
cassandra,5,6,6.0,18_merge_join,0.47921808518792924
cassandra,5,6,6.0,16_large_agg,0.7314757854287985
cassandra,5,6,6.0,17_left_join,0.5839119881862681
cassandra,5,6,6.0,20_nested_loops,0.5012722942395087
cassandra,5,6,6.0,10_intersect,0.647920279337491
cassandra,5,9,3.0,18_merge_join,0.47154703133310905
cassandra,5,9,3.0,16_large_agg,0.6950428484348047
cassandra,5,9,3.0,17_left_join,0.6333284188959184
cassandra,5,9,3.0,20_nested_loops,0.49019818862539294
cassandra,5,9,3.0,10_intersect,0.5325977793057235
cassandra,5,9,4.5,18_merge_join,0.48079615591225294
cassandra,5,9,4.5,16_large_agg,0.6934892194201566
cassandra,5,9,4.5,17_left_join,0.6091542040453065
cassandra,5,9,4.5,20_nested_loops,0.4852842411356097
cassandra,5,9,4.5,10_intersect,0.5594442484827893
cassandra,5,9,6.0,18_merge_join,0.47565665896170084
cassandra,5,9,6.0,16_large_agg,0.6933658275049975
cassandra,5,9,6.0,17_left_join,0.6275538894706394
cassandra,5,9,6.0,20_nested_loops,0.4849444763980995
cassandra,5,9,6.0,10_intersect,0.5869415393853273
